metric,best_k,best_f1,avg_classifiers_kept
query_weighted_precision_sqrt_tp,6,1.0,6.0
query_weighted_precision_log_tp,6,0.967741935483871,6.0
query_weighted_precision,6,0.9655172413793104,6.0
query_similarity,6,0.9655172413793104,6.0
precision_sqrt_tp,175,0.8571428571428571,175.0
precision,175,0.8571428571428571,175.0
precision_log_tp,175,0.8571428571428571,175.0
log_odds_ratio,175,0.8571428571428571,175.0
log_odds_ratio_log_tp,175,0.8571428571428571,175.0
stability,175,0.8571428571428571,175.0
delta_stability,175,0.8571428571428571,175.0
